use4_sector,factor,sharadar_industry,floor_exception
Consumer Discretionary,Automobiles & Components,Auto Manufacturers,false
Consumer Discretionary,Automobiles & Components,Auto Parts,false
Consumer Discretionary,Automobiles & Components,Recreational Vehicles,false
Consumer Discretionary,"Consumer Durables, Apparel & Leisure Products",Apparel Manufacturing,false
Consumer Discretionary,"Consumer Durables, Apparel & Leisure Products",Footwear & Accessories,false
Consumer Discretionary,"Consumer Durables, Apparel & Leisure Products",Furnishings,false
Consumer Discretionary,"Consumer Durables, Apparel & Leisure Products",Furnishings Fixtures & Appliances,false
Consumer Discretionary,"Consumer Durables, Apparel & Leisure Products",Leisure,false
Consumer Discretionary,"Consumer Durables, Apparel & Leisure Products",Luxury Goods,false
Consumer Discretionary,"Consumer Durables, Apparel & Leisure Products",Textile Manufacturing,false
Consumer Discretionary,Homebuilding,Residential Construction,false
Consumer Discretionary,Hotels & Consumer Services,Education & Training Services,false
Consumer Discretionary,Hotels & Consumer Services,Gambling,false
Consumer Discretionary,Hotels & Consumer Services,Lodging,false
Consumer Discretionary,Hotels & Consumer Services,Personal Services,false
Consumer Discretionary,Hotels & Consumer Services,Resorts & Casinos,false
Consumer Discretionary,Hotels & Consumer Services,Travel Services,false
Consumer Discretionary,Internet & Catalog Retail,Internet Retail,true
Consumer Discretionary,Media,Advertising Agencies,false
Consumer Discretionary,Media,Broadcasting,false
Consumer Discretionary,Media,Entertainment,false
Consumer Discretionary,Media,Publishing,false
Consumer Discretionary,Restaurants,Restaurants,false
Consumer Discretionary,Specialty & Multiline Retail,Apparel Retail,false
Consumer Discretionary,Specialty & Multiline Retail,Auto & Truck Dealerships,false
Consumer Discretionary,Specialty & Multiline Retail,Department Stores,false
Consumer Discretionary,Specialty & Multiline Retail,Home Improvement Retail,false
Consumer Discretionary,Specialty & Multiline Retail,Specialty Retail,false
Consumer Staples,Beverages & Tobacco,Beverages - Brewers,false
Consumer Staples,Beverages & Tobacco,Beverages - Non-Alcoholic,false
Consumer Staples,Beverages & Tobacco,Beverages - Wineries & Distilleries,false
Consumer Staples,Beverages & Tobacco,Tobacco,false
Consumer Staples,Food & Staples Retailing,Discount Stores,false
Consumer Staples,Food & Staples Retailing,Food Distribution,false
Consumer Staples,Food & Staples Retailing,Grocery Stores,false
Consumer Staples,Food & Staples Retailing,Pharmaceutical Retailers,false
Consumer Staples,Food Products,Confectioners,false
Consumer Staples,Food Products,Farm Products,false
Consumer Staples,Food Products,Packaged Foods,false
Consumer Staples,Household & Personal Products,Household & Personal Products,false
Energy,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Drilling,false
Energy,"Oil & Gas Equipment, Services & Drilling",Oil & Gas Equipment & Services,false
Energy,Oil & Gas Exploration & Production,Oil & Gas E&P,false
Energy,"Oil, Gas & Consumable Fuels",Coking Coal,false
Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Integrated,false
Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Midstream,false
Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,false
Energy,"Oil, Gas & Consumable Fuels",Thermal Coal,false
Energy,"Oil, Gas & Consumable Fuels",Uranium,false
Financials,Banks,Banks - Diversified,false
Financials,Banks,Banks - Regional,false
Financials,Banks,Mortgage Finance,false
Financials,Banks,Savings & Cooperative Banks,false
Financials,Capital Markets & Asset Management,Asset Management,false
Financials,Capital Markets & Asset Management,Capital Markets,false
Financials,Consumer Finance & Diversified Financial Services,Credit Services,false
Financials,Consumer Finance & Diversified Financial Services,Financial Conglomerates,false
Financials,Consumer Finance & Diversified Financial Services,Financial Data & Stock Exchanges,false
Financials,Consumer Finance & Diversified Financial Services,Shell Companies,false
Financials,Insurance Brokers & Reinsurance,Insurance - Reinsurance,false
Financials,Insurance Brokers & Reinsurance,Insurance Brokers,false
Financials,Life & Multi-line Insurance,Insurance - Diversified,false
Financials,Life & Multi-line Insurance,Insurance - Life,false
Financials,Property & Casualty Insurance,Insurance - Property & Casualty,false
Financials,Property & Casualty Insurance,Insurance - Specialty,false
Financials,Real Estate,REIT - Diversified,false
Financials,Real Estate,REIT - Healthcare Facilities,false
Financials,Real Estate,REIT - Hotel & Motel,false
Financials,Real Estate,REIT - Industrial,false
Financials,Real Estate,REIT - Mortgage,false
Financials,Real Estate,REIT - Office,false
Financials,Real Estate,REIT - Residential,false
Financials,Real Estate,REIT - Retail,false
Financials,Real Estate,REIT - Specialty,false
Financials,Real Estate,Real Estate - Development,false
Financials,Real Estate,Real Estate - Diversified,false
Financials,Real Estate,Real Estate Services,false
Health Care,Biotechnology & Life Sciences,Biotechnology,false
Health Care,Biotechnology & Life Sciences,Diagnostics & Research,false
Health Care,Health Care Equipment & Technology,Health Information Services,false
Health Care,Health Care Equipment & Technology,Medical Devices,false
Health Care,Health Care Equipment & Technology,Medical Instruments & Supplies,false
Health Care,Health Care Providers (non-HMO),Medical Care Facilities,false
Health Care,Health Care Providers (non-HMO),Medical Distribution,false
Health Care,Managed Health Care,Healthcare Plans,true
Health Care,Pharmaceuticals,Drug Manufacturers - General,false
Health Care,Pharmaceuticals,Drug Manufacturers - Specialty & Generic,false
Industrials,Aerospace & Defense,Aerospace & Defense,false
Industrials,"Air Freight, Logistics & Marine",Airports & Air Services,false
Industrials,"Air Freight, Logistics & Marine",Integrated Freight & Logistics,false
Industrials,"Air Freight, Logistics & Marine",Marine Shipping,false
Industrials,"Air Freight, Logistics & Marine",Shipping & Ports,false
Industrials,Airlines,Airlines,true
Industrials,Building Products,Building Products & Equipment,false
Industrials,Commercial & Professional Services,Consulting Services,false
Industrials,Commercial & Professional Services,Security & Protection Services,false
Industrials,Commercial & Professional Services,Specialty Business Services,false
Industrials,Commercial & Professional Services,Staffing & Employment Services,false
Industrials,Commercial & Professional Services,Waste Management,false
Industrials,Construction & Engineering,Engineering & Construction,false
Industrials,Construction & Engineering,Infrastructure Operations,false
Industrials,Construction & Farm Machinery,Farm & Heavy Construction Machinery,false
Industrials,Electrical Equipment,Electrical Equipment & Parts,false
Industrials,Electrical Equipment,Pollution & Treatment Controls,false
Industrials,Industrial Conglomerates,Conglomerates,true
Industrials,Industrial Conglomerates,Diversified Industrials,true
Industrials,Industrial Machinery,Metal Fabrication,false
Industrials,Industrial Machinery,Specialty Industrial Machinery,false
Industrials,Industrial Machinery,Tools & Accessories,false
Industrials,Road & Rail,Railroads,false
Industrials,Road & Rail,Trucking,false
Industrials,Trading Companies & Distributors,Business Equipment & Supplies,false
Industrials,Trading Companies & Distributors,Industrial Distribution,false
Industrials,Trading Companies & Distributors,Rental & Leasing Services,false
Information Technology,Communications Equipment,Communication Equipment,false
Information Technology,Computers & Electronics,Computer Hardware,false
Information Technology,Computers & Electronics,Computer Systems,false
Information Technology,Computers & Electronics,Consumer Electronics,false
Information Technology,Computers & Electronics,Electronic Components,false
Information Technology,Computers & Electronics,Electronics & Computer Distribution,false
Information Technology,Computers & Electronics,Scientific & Technical Instruments,false
Information Technology,Internet Software & IT Services,Information Technology Services,false
Information Technology,Internet Software & IT Services,Internet Content & Information,false
Information Technology,Semiconductor Equipment,Semiconductor Equipment & Materials,false
Information Technology,Semiconductor Equipment,Solar,false
Information Technology,Semiconductors,Semiconductors,false
Information Technology,Software - Application,Software - Application,false
Information Technology,Software - Infrastructure & Gaming,Electronic Gaming & Multimedia,false
Information Technology,Software - Infrastructure & Gaming,Software - Infrastructure,false
Materials,Chemicals (Commodity & Agricultural),Agricultural Inputs,false
Materials,Chemicals (Commodity & Agricultural),Chemicals,false
Materials,Construction Materials & Forest Products,Building Materials,false
Materials,Construction Materials & Forest Products,Lumber & Wood Production,false
Materials,Construction Materials & Forest Products,Paper & Paper Products,false
Materials,Containers & Packaging,Packaging & Containers,false
Materials,Metals & Mining,Aluminum,false
Materials,Metals & Mining,Copper,false
Materials,Metals & Mining,Gold,false
Materials,Metals & Mining,Industrial Metals & Minerals,false
Materials,Metals & Mining,Other Industrial Metals & Mining,false
Materials,Metals & Mining,Other Precious Metals & Mining,false
Materials,Metals & Mining,Steel,false
Materials,Specialty Chemicals,Specialty Chemicals,false
Telecommunications,Telecommunication Services,Telecom Services,false
Unassigned,UNASSIGNED (fallback ladder),UNCLASSIFIED,false
Utilities,Electric Utilities,Utilities - Regulated Electric,false
Utilities,Gas Utilities,Utilities - Regulated Gas,false
Utilities,"Multi-Utilities, Water & Power",Utilities - Diversified,false
Utilities,"Multi-Utilities, Water & Power",Utilities - Independent Power Producers,false
Utilities,"Multi-Utilities, Water & Power",Utilities - Regulated Water,false
Utilities,"Multi-Utilities, Water & Power",Utilities - Renewable,false
Financials,Banks,Banks - Global,false
Health Care,Pharmaceuticals,Drug Manufacturers - Major,false
Materials,Metals & Mining,Silver,false
